EloGroup,ECO,Count,Proportion
2000+,A22,1,6.561679790026247e-4
2000+,A23,1,6.561679790026247e-4
2000+,A33,1,6.561679790026247e-4
2000+,A35,1,6.561679790026247e-4
2000+,A36,1,6.561679790026247e-4
2000+,A44,1,6.561679790026247e-4
2000+,A47,1,6.561679790026247e-4
2000+,A57,1,6.561679790026247e-4
2000+,A64,1,6.561679790026247e-4
2000+,A84,1,6.561679790026247e-4
2000+,A91,1,6.561679790026247e-4
2000+,B14,1,6.561679790026247e-4
2000+,B24,1,6.561679790026247e-4
2000+,B27,1,6.561679790026247e-4
2000+,B29,1,6.561679790026247e-4
2000+,B39,1,6.561679790026247e-4
2000+,B45,1,6.561679790026247e-4
2000+,B47,1,6.561679790026247e-4
2000+,B54,1,6.561679790026247e-4
2000+,B56,1,6.561679790026247e-4
2000+,B57,1,6.561679790026247e-4
2000+,B60,1,6.561679790026247e-4
2000+,B62,1,6.561679790026247e-4
2000+,B73,1,6.561679790026247e-4
2000+,B80,1,6.561679790026247e-4
2000+,B83,1,6.561679790026247e-4
2000+,B86,1,6.561679790026247e-4
2000+,B87,1,6.561679790026247e-4
2000+,B96,1,6.561679790026247e-4
2000+,B97,1,6.561679790026247e-4
2000+,C16,1,6.561679790026247e-4
2000+,C29,1,6.561679790026247e-4
2000+,C32,1,6.561679790026247e-4
2000+,C35,1,6.561679790026247e-4
2000+,C38,1,6.561679790026247e-4
2000+,C46,1,6.561679790026247e-4
2000+,C51,1,6.561679790026247e-4
2000+,C60,1,6.561679790026247e-4
2000+,C64,1,6.561679790026247e-4
2000+,C69,1,6.561679790026247e-4
2000+,C80,1,6.561679790026247e-4
2000+,C88,1,6.561679790026247e-4
2000+,D01,1,6.561679790026247e-4
2000+,D05,1,6.561679790026247e-4
2000+,D07,1,6.561679790026247e-4
2000+,D08,1,6.561679790026247e-4
2000+,D13,1,6.561679790026247e-4
2000+,D15,1,6.561679790026247e-4
2000+,D32,1,6.561679790026247e-4
2000+,D55,1,6.561679790026247e-4
2000+,D80,1,6.561679790026247e-4
2000+,D87,1,6.561679790026247e-4
2000+,D91,1,6.561679790026247e-4
2000+,D93,1,6.561679790026247e-4
2000+,E01,1,6.561679790026247e-4
2000+,E06,1,6.561679790026247e-4
2000+,E07,1,6.561679790026247e-4
2000+,E11,1,6.561679790026247e-4
2000+,E21,1,6.561679790026247e-4
2000+,E24,1,6.561679790026247e-4
2000+,E34,1,6.561679790026247e-4
2000+,E38,1,6.561679790026247e-4
2000+,E39,1,6.561679790026247e-4
2000+,E48,1,6.561679790026247e-4
2000+,E60,1,6.561679790026247e-4
2000+,E62,1,6.561679790026247e-4
2000+,E67,1,6.561679790026247e-4
2000+,E72,1,6.561679790026247e-4
2000+,E79,1,6.561679790026247e-4
2000+,E81,1,6.561679790026247e-4
2000+,E85,1,6.561679790026247e-4
2000+,E94,1,6.561679790026247e-4
2000+,E97,1,6.561679790026247e-4
