EloGroup,ECO,Count,Proportion
1000-1499,C66,2,6.531678641410843e-4
1000-1499,C79,2,6.531678641410843e-4
1000-1499,D11,2,6.531678641410843e-4
1000-1499,A09,1,3.2658393207054214e-4
1000-1499,A11,1,3.2658393207054214e-4
1000-1499,A17,1,3.2658393207054214e-4
1000-1499,A18,1,3.2658393207054214e-4
1000-1499,A25,1,3.2658393207054214e-4
1000-1499,A44,1,3.2658393207054214e-4
1000-1499,A47,1,3.2658393207054214e-4
1000-1499,A52,1,3.2658393207054214e-4
1000-1499,A56,1,3.2658393207054214e-4
1000-1499,B03,1,3.2658393207054214e-4
1000-1499,B04,1,3.2658393207054214e-4
1000-1499,B08,1,3.2658393207054214e-4
1000-1499,B15,1,3.2658393207054214e-4
1000-1499,B18,1,3.2658393207054214e-4
1000-1499,B23,1,3.2658393207054214e-4
1000-1499,B33,1,3.2658393207054214e-4
1000-1499,B44,1,3.2658393207054214e-4
1000-1499,B45,1,3.2658393207054214e-4
1000-1499,B46,1,3.2658393207054214e-4
1000-1499,B54,1,3.2658393207054214e-4
1000-1499,B90,1,3.2658393207054214e-4
1000-1499,C11,1,3.2658393207054214e-4
1000-1499,C13,1,3.2658393207054214e-4
1000-1499,C15,1,3.2658393207054214e-4
1000-1499,C29,1,3.2658393207054214e-4
1000-1499,C31,1,3.2658393207054214e-4
1000-1499,C35,1,3.2658393207054214e-4
1000-1499,C37,1,3.2658393207054214e-4
1000-1499,C67,1,3.2658393207054214e-4
1000-1499,C70,1,3.2658393207054214e-4
1000-1499,C71,1,3.2658393207054214e-4
1000-1499,C78,1,3.2658393207054214e-4
1000-1499,D03,1,3.2658393207054214e-4
1000-1499,D08,1,3.2658393207054214e-4
1000-1499,D12,1,3.2658393207054214e-4
1000-1499,D15,1,3.2658393207054214e-4
1000-1499,D24,1,3.2658393207054214e-4
1000-1499,D26,1,3.2658393207054214e-4
1000-1499,D51,1,3.2658393207054214e-4
1000-1499,D63,1,3.2658393207054214e-4
1000-1499,D70,1,3.2658393207054214e-4
1000-1499,D80,1,3.2658393207054214e-4
1000-1499,E10,1,3.2658393207054214e-4
1000-1499,E30,1,3.2658393207054214e-4
1000-1499,E34,1,3.2658393207054214e-4
1000-1499,E60,1,3.2658393207054214e-4
1000-1499,E90,1,3.2658393207054214e-4
1500-1999,C41,1593,0.06268198630676006
1500-1999,A00,1181,0.046470449358621234
1500-1999,D00,950,0.037380971118281266
1500-1999,B01,899,0.03537420319508932
1500-1999,C50,863,0.03395766113165972
1500-1999,B00,791,0.031124577004800504
1500-1999,C00,755,0.0297080349413709
1500-1999,C44,752,0.029589989769418432
1500-1999,D02,710,0.02793735736208389
1500-1999,B07,702,0.027622570236877312
1500-1999,B20,698,0.027465176674274023
1500-1999,A40,681,0.02679625403321004
1500-1999,C20,519,0.020421814747776816
1500-1999,C42,429,0.0168804595892028
1500-1999,B30,416,0.016368930510742112
1500-1999,C23,408,0.01605414338553553
1500-1999,C30,404,0.01589674982293224
1500-1999,B06,400,0.015739356260328952
1500-1999,B21,385,0.015149130400566617
1500-1999,C02,372,0.014637601322105925
1500-1999,B50,325,0.012788226961517274
1500-1999,C40,315,0.012394743055009051
1500-1999,B22,303,0.011922562367199182
1500-1999,C45,296,0.011647123632643424
1500-1999,A04,290,0.01141103328873849
1500-1999,A45,283,0.011135594554182733
1500-1999,B10,274,0.010781459038325333
1500-1999,C55,245,0.009640355709451483
1500-1999,C25,243,0.009561658928149839
1500-1999,D20,232,0.009128826630990792
1500-1999,C34,210,0.0082631620366727
1500-1999,B40,196,0.007712284567561187
1500-1999,C24,196,0.007712284567561187
1500-1999,A02,192,0.007554891004957897
1500-1999,D06,192,0.007554891004957897
1500-1999,B12,187,0.007358149051703785
1500-1999,C01,182,0.007161407098449674
1500-1999,B23,173,0.006807271582592272
1500-1999,A06,171,0.006728574801290627
1500-1999,A03,165,0.006492484457385693
1500-1999,C60,158,0.006217045722829937
1500-1999,C21,156,0.006138348941528291
1500-1999,C26,155,0.006099000550877469
1500-1999,B02,150,0.0059022585976233576
1500-1999,D10,150,0.0059022585976233576
1500-1999,C47,149,0.005862910206972534
1500-1999,A41,145,0.005705516644369245
1500-1999,B32,140,0.005508774691115133
1500-1999,C62,115,0.004525064924844574
1500-1999,C57,110,0.004328322971590462
1500-1999,D31,110,0.004328322971590462
1500-1999,A20,108,0.004249626190288817
1500-1999,D30,102,0.004013535846383883
1500-1999,A46,101,0.00397418745573306
1500-1999,C46,99,0.003895490674431416
1500-1999,C65,98,0.0038561422837805935
1500-1999,C61,94,0.003698748721177304
1500-1999,A09,93,0.0036594003305264813
1500-1999,B28,90,0.0035413551585740145
1500-1999,C22,90,0.0035413551585740145
1500-1999,A10,89,0.003502006767923192
1500-1999,B13,89,0.003502006767923192
1500-1999,C33,84,0.00330526481466908
1500-1999,C54,83,0.003265916424018258
1500-1999,C53,82,0.003226568033367435
1500-1999,C31,76,0.002990477689462501
1500-1999,A48,74,0.002911780908160856
1500-1999,A22,73,0.002872432517510034
1500-1999,C64,71,0.0027937357362083893
1500-1999,B27,65,0.002557645392303455
1500-1999,A43,63,0.00247894861100181
1500-1999,D11,61,0.0024002518297001653
1500-1999,C68,60,0.002360903439049343
1500-1999,A21,57,0.002242858267096876
1500-1999,C10,57,0.002242858267096876
1500-1999,A80,56,0.0022035098764460535
1500-1999,C36,55,0.002164161485795231
1500-1999,D43,55,0.002164161485795231
1500-1999,E00,55,0.002164161485795231
1500-1999,A30,53,0.0020854647044935863
1500-1999,B54,53,0.0020854647044935863
1500-1999,D07,53,0.0020854647044935863
1500-1999,D35,53,0.0020854647044935863
1500-1999,C58,52,0.002046116313842764
1500-1999,A01,51,0.0020067679231919413
1500-1999,A13,51,0.0020067679231919413
1500-1999,A51,51,0.0020067679231919413
1500-1999,C11,47,0.001849374360588652
1500-1999,B08,45,0.0017706775792870073
1500-1999,C37,45,0.0017706775792870073
1500-1999,C29,44,0.0017313291886361848
1500-1999,D04,43,0.0016919807979853623
1500-1999,A07,39,0.0015345872353820728
1500-1999,C28,39,0.0015345872353820728
1500-1999,D03,39,0.0015345872353820728
1500-1999,D05,39,0.0015345872353820728
1500-1999,A53,38,0.0014952388447312505
1500-1999,A11,35,0.0013771936727787833
1500-1999,A50,35,0.0013771936727787833
1500-1999,A52,35,0.0013771936727787833
1500-1999,B03,35,0.0013771936727787833
1500-1999,E61,35,0.0013771936727787833
1500-1999,D15,34,0.001337845282127961
1500-1999,D53,34,0.001337845282127961
1500-1999,B34,33,0.0012984968914771385
1500-1999,C67,32,0.0012591485008263163
1500-1999,D37,32,0.0012591485008263163
1500-1999,A05,31,0.0012198001101754938
1500-1999,B31,31,0.0012198001101754938
1500-1999,B44,31,0.0012198001101754938
1500-1999,D12,31,0.0012198001101754938
1500-1999,D32,31,0.0012198001101754938
1500-1999,A85,30,0.0011804517195246715
1500-1999,B33,30,0.0011804517195246715
1500-1999,C35,30,0.0011804517195246715
1500-1999,B51,29,0.001141103328873849
1500-1999,E90,29,0.001141103328873849
1500-1999,A47,28,0.0011017549382230268
1500-1999,B43,28,0.0011017549382230268
1500-1999,D38,28,0.0011017549382230268
1500-1999,B90,26,0.001023058156921382
1500-1999,C77,26,0.001023058156921382
1500-1999,C51,25,9.837097662705595e-4
1500-1999,D40,25,9.837097662705595e-4
1500-1999,B45,24,9.443613756197371e-4
1500-1999,B18,23,9.050129849689148e-4
1500-1999,C48,23,9.050129849689148e-4
1500-1999,B73,22,8.656645943180924e-4
1500-1999,E60,22,8.656645943180924e-4
