EloGroup,ECO,TotalGames,Count_Black_Win,Count_Draw,Count_White_Win,Proportion_Black_Win,Proportion_Draw,Proportion_White_Win
2000+,B62,1,0,0,1,0,0,1
2000+,B72,6,2,0,4,0.3333333333333333,0,0.6666666666666666
2000+,B73,1,0,0,1,0,0,1
2000+,B80,1,0,0,1,0,0,1
2000+,B83,1,0,0,1,0,0,1
2000+,B84,4,1,3,0,0.25,0.75,0
2000+,B85,3,1,2,0,0.3333333333333333,0.6666666666666666,0
2000+,B86,1,0,0,1,0,0,1
2000+,B87,1,1,0,0,1,0,0
2000+,B89,2,1,0,1,0.5,0,0.5
2000+,B90,7,4,1,2,0.5714285714285714,0.14285714285714285,0.2857142857142857
2000+,B91,3,0,0,3,0,0,1
2000+,B92,3,2,0,1,0.6666666666666666,0,0.3333333333333333
2000+,B94,2,1,0,1,0.5,0,0.5
2000+,B96,1,1,0,0,1,0,0
2000+,B97,1,1,0,0,1,0,0
2000+,C00,54,26,3,25,0.48148148148148145,0.05555555555555555,0.46296296296296297
2000+,C01,9,6,1,2,0.6666666666666666,0.1111111111111111,0.2222222222222222
2000+,C02,36,29,1,6,0.8055555555555556,0.027777777777777776,0.16666666666666666
2000+,C05,2,1,0,1,0.5,0,0.5
2000+,C10,7,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285
2000+,C11,11,3,1,7,0.2727272727272727,0.09090909090909091,0.6363636363636364
2000+,C12,2,1,0,1,0.5,0,0.5
2000+,C13,4,1,2,1,0.25,0.5,0.25
2000+,C14,5,3,0,2,0.6,0,0.4
2000+,C15,2,0,0,2,0,0,1
2000+,C16,1,1,0,0,1,0,0
2000+,C17,3,2,0,1,0.6666666666666666,0,0.3333333333333333
2000+,C20,6,4,0,2,0.6666666666666666,0,0.3333333333333333
2000+,C21,3,2,1,0,0.6666666666666666,0.3333333333333333,0
2000+,C23,7,2,1,4,0.2857142857142857,0.14285714285714285,0.5714285714285714
2000+,C24,2,0,2,0,0,1,0
2000+,C25,2,0,0,2,0,0,1
2000+,C26,7,4,0,3,0.5714285714285714,0,0.42857142857142855
2000+,C28,2,0,0,2,0,0,1
2000+,C29,1,1,0,0,1,0,0
2000+,C30,13,2,1,10,0.15384615384615385,0.07692307692307693,0.7692307692307693
2000+,C31,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,C32,1,0,0,1,0,0,1
2000+,C33,12,5,0,7,0.4166666666666667,0,0.5833333333333334
2000+,C34,4,1,0,3,0.25,0,0.75
2000+,C35,1,1,0,0,1,0,0
2000+,C36,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,C38,1,1,0,0,1,0,0
2000+,C39,8,1,0,7,0.125,0,0.875
2000+,C40,13,8,0,5,0.6153846153846154,0,0.38461538461538464
2000+,C41,46,13,8,25,0.2826086956521739,0.17391304347826086,0.5434782608695652
2000+,C42,16,4,3,9,0.25,0.1875,0.5625
2000+,C43,6,2,0,4,0.3333333333333333,0,0.6666666666666666
2000+,C44,9,6,0,3,0.6666666666666666,0,0.3333333333333333
2000+,C45,27,7,4,16,0.25925925925925924,0.14814814814814814,0.5925925925925926
2000+,C46,1,0,0,1,0,0,1
2000+,C47,22,3,3,16,0.13636363636363635,0.13636363636363635,0.7272727272727273
2000+,C48,4,2,0,2,0.5,0,0.5
2000+,C50,13,4,1,8,0.3076923076923077,0.07692307692307693,0.6153846153846154
2000+,C51,1,0,0,1,0,0,1
2000+,C54,2,0,0,2,0,0,1
2000+,C55,16,6,2,8,0.375,0.125,0.5
2000+,C57,2,1,0,1,0.5,0,0.5
2000+,C58,3,2,0,1,0.6666666666666666,0,0.3333333333333333
2000+,C60,1,1,0,0,1,0,0
2000+,C61,4,2,0,2,0.5,0,0.5
2000+,C62,4,0,0,4,0,0,1
2000+,C64,1,0,0,1,0,0,1
2000+,C65,2,0,1,1,0,0.5,0.5
2000+,C66,2,2,0,0,1,0,0
2000+,C67,2,0,0,2,0,0,1
2000+,C68,2,1,0,1,0.5,0,0.5
2000+,C69,1,0,0,1,0,0,1
2000+,C78,2,2,0,0,1,0,0
2000+,C80,1,1,0,0,1,0,0
2000+,C84,4,1,0,3,0.25,0,0.75
2000+,C88,1,1,0,0,1,0,0
2000+,D00,15,11,1,3,0.7333333333333333,0.06666666666666667,0.2
2000+,D01,1,0,0,1,0,0,1
2000+,D02,33,13,5,15,0.3939393939393939,0.15151515151515152,0.45454545454545453
2000+,D03,7,3,2,2,0.42857142857142855,0.2857142857142857,0.2857142857142857
2000+,D05,1,1,0,0,1,0,0
2000+,D06,12,4,1,7,0.3333333333333333,0.08333333333333333,0.5833333333333334
2000+,D07,1,0,0,1,0,0,1
2000+,D08,1,0,1,0,0,1,0
2000+,D10,16,4,2,10,0.25,0.125,0.625
2000+,D11,6,3,0,3,0.5,0,0.5
2000+,D12,2,0,1,1,0,0.5,0.5
2000+,D13,1,1,0,0,1,0,0
2000+,D15,1,0,0,1,0,0,1
2000+,D20,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,D30,5,1,0,4,0.2,0,0.8
2000+,D31,14,10,0,4,0.7142857142857143,0,0.2857142857142857
2000+,D32,1,0,0,1,0,0,1
2000+,D35,14,5,1,8,0.35714285714285715,0.07142857142857142,0.5714285714285714
2000+,D36,7,1,1,5,0.14285714285714285,0.14285714285714285,0.7142857142857143
2000+,D37,9,7,1,1,0.7777777777777778,0.1111111111111111,0.1111111111111111
2000+,D38,2,1,0,1,0.5,0,0.5
2000+,D40,2,2,0,0,1,0,0
2000+,D41,2,1,1,0,0.5,0.5,0
2000+,D43,7,3,1,3,0.42857142857142855,0.14285714285714285,0.42857142857142855
2000+,D45,2,1,1,0,0.5,0.5,0
2000+,D50,2,0,0,2,0,0,1
2000+,D53,2,1,1,0,0.5,0.5,0
2000+,D55,1,0,1,0,0,1,0
2000+,D60,2,0,1,1,0,0.5,0.5
2000+,D80,1,0,0,1,0,0,1
2000+,D85,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,D87,1,0,0,1,0,0,1
2000+,D91,1,0,0,1,0,0,1
2000+,D93,1,1,0,0,1,0,0
2000+,D94,7,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857
2000+,E00,6,1,2,3,0.16666666666666666,0.3333333333333333,0.5
2000+,E01,1,0,0,1,0,0,1
2000+,E06,1,1,0,0,1,0,0
2000+,E07,1,1,0,0,1,0,0
2000+,E11,1,0,0,1,0,0,1
2000+,E20,6,1,1,4,0.16666666666666666,0.16666666666666666,0.6666666666666666
2000+,E21,1,0,1,0,0,1,0
2000+,E22,5,1,2,2,0.2,0.4,0.4
2000+,E24,1,0,1,0,0,1,0
2000+,E27,2,0,0,2,0,0,1
2000+,E34,1,0,0,1,0,0,1
2000+,E38,1,0,0,1,0,0,1
2000+,E39,1,0,0,1,0,0,1
2000+,E48,1,0,0,1,0,0,1
2000+,E60,1,0,0,1,0,0,1
2000+,E61,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,E62,1,0,0,1,0,0,1
2000+,E67,1,1,0,0,1,0,0
2000+,E70,2,2,0,0,1,0,0
2000+,E72,1,0,0,1,0,0,1
2000+,E77,2,2,0,0,1,0,0
2000+,E79,1,0,0,1,0,0,1
2000+,E81,1,0,0,1,0,0,1
2000+,E85,1,0,0,1,0,0,1
2000+,E90,5,2,0,3,0.4,0,0.6
2000+,E91,2,0,0,2,0,0,1
2000+,E92,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
2000+,E94,1,1,0,0,1,0,0
2000+,E97,1,1,0,0,1,0,0
