EloGroup,ECO,TotalGames,Count_Black_Win,Count_Draw,Count_White_Win,Proportion_Black_Win,Proportion_Draw,Proportion_White_Win
1500-1999,C39,19,11,1,7,0.5789473684210527,0.05263157894736842,0.3684210526315789
1500-1999,C40,315,134,9,172,0.4253968253968254,0.02857142857142857,0.546031746031746
1500-1999,C41,1593,697,78,818,0.43753923414940366,0.04896421845574388,0.5134965473948525
1500-1999,C42,429,192,15,222,0.44755244755244755,0.03496503496503497,0.5174825174825175
1500-1999,C43,19,11,1,7,0.5789473684210527,0.05263157894736842,0.3684210526315789
1500-1999,C44,752,347,38,367,0.46143617021276595,0.05053191489361702,0.488031914893617
1500-1999,C45,296,120,11,165,0.40540540540540543,0.037162162162162164,0.5574324324324325
1500-1999,C46,99,42,1,56,0.42424242424242425,0.010101010101010102,0.5656565656565656
1500-1999,C47,149,70,16,63,0.4697986577181208,0.10738255033557047,0.4228187919463087
1500-1999,C48,23,10,1,12,0.43478260869565216,0.043478260869565216,0.5217391304347826
1500-1999,C49,3,3,0,0,1,0,0
1500-1999,C50,863,410,37,416,0.47508690614136734,0.04287369640787949,0.4820393974507532
1500-1999,C51,25,10,0,15,0.4,0,0.6
1500-1999,C52,18,9,1,8,0.5,0.05555555555555555,0.4444444444444444
1500-1999,C53,82,36,5,41,0.43902439024390244,0.06097560975609756,0.5
1500-1999,C54,83,40,4,39,0.4819277108433735,0.04819277108433735,0.46987951807228917
1500-1999,C55,245,117,8,120,0.4775510204081633,0.0326530612244898,0.4897959183673469
1500-1999,C56,2,1,0,1,0.5,0,0.5
1500-1999,C57,110,53,5,52,0.4818181818181818,0.045454545454545456,0.4727272727272727
1500-1999,C58,52,25,1,26,0.4807692307692308,0.019230769230769232,0.5
1500-1999,C59,11,6,0,5,0.5454545454545454,0,0.45454545454545453
1500-1999,C60,158,68,9,81,0.43037974683544306,0.056962025316455694,0.5126582278481012
1500-1999,C61,94,38,2,54,0.40425531914893614,0.02127659574468085,0.574468085106383
1500-1999,C62,115,47,7,61,0.40869565217391307,0.06086956521739131,0.5304347826086957
1500-1999,C63,10,6,1,3,0.6,0.1,0.3
1500-1999,C64,71,29,3,39,0.4084507042253521,0.04225352112676056,0.5492957746478874
1500-1999,C65,98,38,10,50,0.3877551020408163,0.10204081632653061,0.5102040816326531
1500-1999,C66,12,5,1,6,0.4166666666666667,0.08333333333333333,0.5
1500-1999,C67,32,14,3,15,0.4375,0.09375,0.46875
1500-1999,C68,60,42,2,16,0.7,0.03333333333333333,0.26666666666666666
1500-1999,C70,20,12,1,7,0.6,0.05,0.35
1500-1999,C71,4,2,0,2,0.5,0,0.5
1500-1999,C72,4,2,1,1,0.5,0.25,0.25
1500-1999,C74,1,0,0,1,0,0,1
1500-1999,C75,4,2,1,1,0.5,0.25,0.25
1500-1999,C77,26,10,2,14,0.38461538461538464,0.07692307692307693,0.5384615384615384
1500-1999,C78,12,4,1,7,0.3333333333333333,0.08333333333333333,0.5833333333333334
1500-1999,C79,3,2,0,1,0.6666666666666666,0,0.3333333333333333
1500-1999,C80,7,1,0,6,0.14285714285714285,0,0.8571428571428571
1500-1999,C84,4,0,0,4,0,0,1
1500-1999,C87,4,0,0,4,0,0,1
1500-1999,C88,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333
1500-1999,C89,2,1,0,1,0.5,0,0.5
1500-1999,C90,2,1,0,1,0.5,0,0.5
1500-1999,C91,1,0,1,0,0,1,0
1500-1999,C92,4,1,1,2,0.25,0.25,0.5
1500-1999,C97,1,0,0,1,0,0,1
1500-1999,D00,950,457,55,438,0.48105263157894734,0.05789473684210526,0.4610526315789474
1500-1999,D01,16,10,0,6,0.625,0,0.375
1500-1999,D02,710,345,43,322,0.4859154929577465,0.06056338028169014,0.4535211267605634
1500-1999,D03,39,19,2,18,0.48717948717948717,0.05128205128205128,0.46153846153846156
1500-1999,D04,43,16,3,24,0.37209302325581395,0.06976744186046512,0.5581395348837209
1500-1999,D05,39,19,3,17,0.48717948717948717,0.07692307692307693,0.4358974358974359
1500-1999,D06,192,58,8,126,0.3020833333333333,0.041666666666666664,0.65625
1500-1999,D07,53,22,6,25,0.41509433962264153,0.11320754716981132,0.4716981132075472
1500-1999,D08,16,7,1,8,0.4375,0.0625,0.5
1500-1999,D09,2,1,0,1,0.5,0,0.5
1500-1999,D10,150,68,11,71,0.4533333333333333,0.07333333333333333,0.47333333333333333
1500-1999,D11,61,22,6,33,0.36065573770491804,0.09836065573770492,0.5409836065573771
1500-1999,D12,31,17,2,12,0.5483870967741935,0.06451612903225806,0.3870967741935484
1500-1999,D13,10,5,0,5,0.5,0,0.5
1500-1999,D14,1,0,0,1,0,0,1
1500-1999,D15,34,13,3,18,0.38235294117647056,0.08823529411764706,0.5294117647058824
1500-1999,D16,2,2,0,0,1,0,0
1500-1999,D20,232,72,4,156,0.3103448275862069,0.017241379310344827,0.6724137931034483
1500-1999,D21,14,4,2,8,0.2857142857142857,0.14285714285714285,0.5714285714285714
1500-1999,D22,4,2,0,2,0.5,0,0.5
1500-1999,D23,2,0,0,2,0,0,1
1500-1999,D24,10,3,2,5,0.3,0.2,0.5
1500-1999,D25,5,1,0,4,0.2,0,0.8
1500-1999,D26,6,4,0,2,0.6666666666666666,0,0.3333333333333333
1500-1999,D27,1,0,1,0,0,1,0
1500-1999,D30,102,35,10,57,0.3431372549019608,0.09803921568627451,0.5588235294117647
1500-1999,D31,110,45,4,61,0.4090909090909091,0.03636363636363636,0.5545454545454546
1500-1999,D32,31,9,3,19,0.2903225806451613,0.0967741935483871,0.6129032258064516
1500-1999,D33,2,1,0,1,0.5,0,0.5
1500-1999,D34,2,0,0,2,0,0,1
1500-1999,D35,53,11,8,34,0.20754716981132076,0.1509433962264151,0.6415094339622641
1500-1999,D36,2,2,0,0,1,0,0
1500-1999,D37,32,10,3,19,0.3125,0.09375,0.59375
1500-1999,D38,28,11,2,15,0.39285714285714285,0.07142857142857142,0.5357142857142857
1500-1999,D40,25,11,0,14,0.44,0,0.56
1500-1999,D41,2,0,0,2,0,0,1
1500-1999,D43,55,22,5,28,0.4,0.09090909090909091,0.509090909090909
1500-1999,D45,16,8,0,8,0.5,0,0.5
1500-1999,D46,5,2,1,2,0.4,0.2,0.4
1500-1999,D47,4,2,1,1,0.5,0.25,0.25
1500-1999,D50,13,4,1,8,0.3076923076923077,0.07692307692307693,0.6153846153846154
1500-1999,D51,8,3,0,5,0.375,0,0.625
1500-1999,D52,1,1,0,0,1,0,0
1500-1999,D53,34,12,3,19,0.35294117647058826,0.08823529411764706,0.5588235294117647
1500-1999,D55,5,2,1,2,0.4,0.2,0.4
1500-1999,D56,2,2,0,0,1,0,0
1500-1999,D57,1,1,0,0,1,0,0
1500-1999,D58,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1500-1999,D60,14,9,0,5,0.6428571428571429,0,0.35714285714285715
1500-1999,D61,1,1,0,0,1,0,0
1500-1999,D63,2,1,0,1,0.5,0,0.5
1500-1999,D70,5,1,1,3,0.2,0.2,0.6
1500-1999,D72,1,1,0,0,1,0,0
1500-1999,D73,2,2,0,0,1,0,0
1500-1999,D77,1,0,0,1,0,0,1
1500-1999,D78,5,2,0,3,0.4,0,0.6
1500-1999,D80,7,5,0,2,0.7142857142857143,0,0.2857142857142857
1500-1999,D82,4,2,0,2,0.5,0,0.5
1500-1999,D85,10,3,1,6,0.3,0.1,0.6
1500-1999,D86,2,2,0,0,1,0,0
1500-1999,D90,6,2,1,3,0.3333333333333333,0.16666666666666666,0.5
1500-1999,D91,7,2,0,5,0.2857142857142857,0,0.7142857142857143
1500-1999,D92,15,5,1,9,0.3333333333333333,0.06666666666666667,0.6
1500-1999,D93,4,3,0,1,0.75,0,0.25
1500-1999,D94,10,3,0,7,0.3,0,0.7
1500-1999,E00,55,26,1,28,0.4727272727272727,0.01818181818181818,0.509090909090909
1500-1999,E01,9,3,1,5,0.3333333333333333,0.1111111111111111,0.5555555555555556
1500-1999,E04,1,1,0,0,1,0,0
1500-1999,E05,1,0,0,1,0,0,1
1500-1999,E06,2,1,0,1,0.5,0,0.5
1500-1999,E10,6,3,0,3,0.5,0,0.5
1500-1999,E11,8,2,1,5,0.25,0.125,0.625
1500-1999,E12,6,2,1,3,0.3333333333333333,0.16666666666666666,0.5
1500-1999,E14,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1500-1999,E15,1,1,0,0,1,0,0
1500-1999,E16,1,1,0,0,1,0,0
1500-1999,E18,2,1,0,1,0.5,0,0.5
1500-1999,E20,13,10,0,3,0.7692307692307693,0,0.23076923076923078
1500-1999,E21,11,7,1,3,0.6363636363636364,0.09090909090909091,0.2727272727272727
1500-1999,E22,1,0,0,1,0,0,1
1500-1999,E24,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333
1500-1999,E26,1,1,0,0,1,0,0
1500-1999,E27,5,1,0,4,0.2,0,0.8
1500-1999,E30,12,7,2,3,0.5833333333333334,0.16666666666666666,0.25
1500-1999,E32,4,0,0,4,0,0,1
1500-1999,E33,2,1,0,1,0.5,0,0.5
1500-1999,E34,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1500-1999,E36,1,1,0,0,1,0,0
1500-1999,E38,3,2,0,1,0.6666666666666666,0,0.3333333333333333
1500-1999,E40,2,2,0,0,1,0,0
1500-1999,E41,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1500-1999,E43,1,0,0,1,0,0,1
1500-1999,E49,1,0,0,1,0,0,1
1500-1999,E51,4,1,0,3,0.25,0,0.75
1500-1999,E53,1,0,0,1,0,0,1
1500-1999,E60,22,13,3,6,0.5909090909090909,0.13636363636363635,0.2727272727272727
1500-1999,E61,35,16,1,18,0.45714285714285713,0.02857142857142857,0.5142857142857142
1500-1999,E62,3,3,0,0,1,0,0
1500-1999,E65,2,0,1,1,0,0.5,0.5
1500-1999,E67,4,2,0,2,0.5,0,0.5
